case,seed,success,final_stage,total_stage_time_sec,video_recorded,video_duration_sec,failure_message
case_001,7001,True,COMPLETED,14.836,False,,
case_002,7002,True,COMPLETED,13.522,False,,
case_003,7003,True,COMPLETED,13.327,False,,
case_004,7004,True,COMPLETED,14.571,False,,
case_005,7005,True,COMPLETED,13.305,False,,
case_006,7006,True,COMPLETED,13.569,False,,
case_007,7007,True,COMPLETED,15.182,False,,
case_008,7008,True,COMPLETED,41.408,False,,
case_009,7009,True,COMPLETED,13.285,False,,
case_010,7010,True,COMPLETED,24.249,False,,
